Time,Deal,Symbol,Type,Direction,Volume,Price,Order,Commission,Swap,Profit,Balance,Comment
12/10/2024 09:45:36,TV-1,,Exit short,out,1,21585.75,1,0.00,0.00,58.00,10058.00,TP/SL
12/10/2024 08:30:36,TV-1,,Entry short,in,1,21614.75,1,0.00,0.00,58.00,0.00,Short
12/13/2024 18:15:36,TV-2,,Exit long,out,1,21700.5,2,0.00,0.00,97.50,10155.50,TP/SL
12/13/2024 16:00:36,TV-2,,Entry long,in,1,21651.75,2,0.00,0.00,97.50,0.00,Long
12/14/2024 14:00:36,TV-3,,Exit long,out,1,21765.25,3,0.00,0.00,136.50,10292.00,TP/SL
12/14/2024 12:00:36,TV-3,,Entry long,in,1,21697,3,0.00,0.00,136.50,0.00,Long
12/17/2024 18:15:36,TV-4,,Exit short,out,1,22410.5,4,0.00,0.00,-594.00,9698.00,TP/SL
12/17/2024 16:15:36,TV-4,,Entry short,in,1,22113.5,4,0.00,0.00,-594.00,0.00,Short
12/18/2024 08:45:36,TV-5,,Exit short,out,1,22317.75,5,0.00,0.00,68.00,9766.00,TP/SL
12/18/2024 08:30:36,TV-5,,Entry short,in,1,22351.75,5,0.00,0.00,68.00,0.00,Short
12/21/2024 03:45:36,TV-6,,Exit short,out,1,21170.75,6,0.00,0.00,97.50,9863.50,TP/SL
12/21/2024 03:45:36,TV-6,,Entry short,in,1,21219.5,6,0.00,0.00,97.50,0.00,Short
12/21/2024 15:45:36,TV-7,,Exit short,out,1,21633.25,7,0.00,0.00,240.00,10103.50,TP/SL
12/21/2024 12:15:36,TV-7,,Entry short,in,1,21753.25,7,0.00,0.00,240.00,0.00,Short
12/24/2024 06:15:36,TV-8,,Exit long,out,1,21606.75,8,0.00,0.00,-109.50,9994.00,TP/SL
12/24/2024 05:15:36,TV-8,,Entry long,in,1,21661.5,8,0.00,0.00,-109.50,0.00,Long
12/28/2024 08:45:36,TV-9,,Exit short,out,1,21906.25,9,0.00,0.00,51.50,10045.50,TP/SL
12/28/2024 08:30:36,TV-9,,Entry short,in,1,21932,9,0.00,0.00,51.50,0.00,Short
01/01/2025 09:45:36,TV-10,,Exit short,out,1,21424.5,10,0.00,0.00,84.00,10129.50,TP/SL
01/01/2025 08:15:36,TV-10,,Entry short,in,1,21466.5,10,0.00,0.00,84.00,0.00,Short
01/03/2025 09:15:36,TV-11,,Exit short,out,1,21360.75,11,0.00,0.00,116.50,10246.00,TP/SL
01/03/2025 09:15:36,TV-11,,Entry short,in,1,21419,11,0.00,0.00,116.50,0.00,Short
01/04/2025 09:30:36,TV-12,,Exit short,out,1,21280.25,12,0.00,0.00,-90.50,10155.50,TP/SL
01/04/2025 07:30:36,TV-12,,Entry short,in,1,21235,12,0.00,0.00,-90.50,0.00,Short
01/08/2025 09:00:36,TV-13,,Exit short,out,1,21778,13,0.00,0.00,-96.00,10059.50,TP/SL
01/08/2025 05:15:36,TV-13,,Entry short,in,1,21730,13,0.00,0.00,-96.00,0.00,Short
01/10/2025 18:45:36,TV-14,,Exit short,out,1,21242.75,14,0.00,0.00,86.00,10145.50,TP/SL
01/10/2025 09:30:36,TV-14,,Entry short,in,1,21285.75,14,0.00,0.00,86.00,0.00,Short
01/15/2025 06:30:36,TV-15,,Exit short,out,1,21063.25,15,0.00,0.00,79.00,10224.50,TP/SL
