Time,Deal,Symbol,Type,Direction,Volume,Price,Order,Commission,Swap,Profit,Balance,Comment
01/01/2024 00:00:00,1,,balance,,0,0,0,0.00,0.00,100000.00,100000.00,
01/02/2024 17:00:00,2,NAS100,sell,in,8.7,16602.35,2,0.00,0.00,0.00,100000.00,
01/03/2024 17:15:00,3,NAS100,sell,in,14,16415.2,3,0.00,0.00,0.00,100000.00,
01/03/2024 22:50:37,4,NAS100,buy,out,8.7,16371.93,4,0.00,7.58,2004.65,102012.23,tp 16372.75
01/04/2024 17:15:00,5,NAS100,buy,in,13.1,16371.1,5,0.00,0.00,0.00,102012.23,
01/04/2024 22:55:27,6,NAS100,sell,out,13.1,16292.28,6,0.00,0.00,-1032.54,100979.69,sl 16293.05
01/05/2024 08:14:05,7,NAS100,buy,out,14,16272.55,7,0.00,24.40,1997.10,103001.19,tp 16272.70
01/05/2024 17:15:00,8,NAS100,buy,in,10.1,16389,8,0.00,0.00,0.00,103001.19,
01/05/2024 20:16:31,9,NAS100,sell,out,10.1,16286.71,9,0.00,0.00,-1033.13,101968.06,sl 16287.20
01/08/2024 17:00:00,10,NAS100,buy,in,8.3,16484.3,10,0.00,0.00,0.00,101968.06,
01/09/2024 17:15:00,11,NAS100,buy,in,14.3,16591.3,11,0.00,0.00,0.00,101968.06,
01/10/2024 11:06:23,12,NAS100,sell,out,8.3,16728.32,12,0.00,-77.20,2025.37,103916.23,tp 16728.30
01/10/2024 11:07:19,13,NAS100,sell,out,14.3,16733.15,13,0.00,-66.51,2028.46,105878.18,tp 16733.10
01/10/2024 17:00:00,14,NAS100,sell,in,28.6,16696.5,14,0.00,0.00,0.00,105878.18,
01/10/2024 17:42:25,15,NAS100,buy,out,28.6,16733.81,15,0.00,0.00,-1067.07,104811.11,sl 16733.40
01/11/2024 17:00:00,16,NAS100,sell,in,12.7,16823,16,0.00,0.00,0.00,104811.11,
01/11/2024 18:14:35,17,NAS100,buy,out,12.7,16657.93,17,0.00,0.00,2096.39,106907.50,tp 16658.00
01/12/2024 17:15:00,18,NAS100,sell,in,13.9,16825.1,18,0.00,0.00,0.00,106907.50,
01/15/2024 17:00:00,19,NAS100,sell,in,76.3,16823.7,19,0.00,0.00,0.00,106907.50,
01/15/2024 17:38:14,20,NAS100,buy,out,76.3,16837.9,20,0.00,0.00,-1083.46,105824.04,sl 16837.70
01/16/2024 17:49:36,21,NAS100,buy,out,13.9,16901.86,21,0.00,48.43,-1066.96,104805.51,sl 16901.70
01/17/2024 16:45:00,22,NAS100,sell,in,9.7,16610.4,22,0.00,0.00,0.00,104805.51,
01/17/2024 21:45:14,23,NAS100,buy,out,9.7,16718.47,23,0.00,0.00,-1048.28,103757.23,sl 16718.40
01/18/2024 17:45:00,24,NAS100,buy,in,14.8,16943.15,24,0.00,0.00,0.00,103757.23,
01/18/2024 19:13:14,25,NAS100,sell,out,14.8,16872.58,25,0.00,0.00,-1044.44,102712.79,sl 16872.70
01/19/2024 17:00:00,26,NAS100,buy,in,23.8,17089.95,26,0.00,0.00,0.00,102712.79,
01/19/2024 19:31:22,27,NAS100,sell,out,23.8,17175.77,27,0.00,0.00,2042.52,104755.31,tp 17175.55
01/22/2024 17:30:00,28,NAS100,sell,in,10.9,17372.65,28,0.00,0.00,0.00,104755.31,
01/23/2024 20:00:00,29,NAS100,buy,in,13.1,17379.65,29,0.00,0.00,0.00,104755.31,
01/24/2024 01:41:05,30,NAS100,buy,out,10.9,17468.26,30,0.00,18.98,-1042.15,103732.14,sl 17468.15
01/24/2024 10:55:13,31,NAS100,sell,out,13.1,17537.98,31,0.00,-60.93,2074.12,105745.33,tp 17537.75
01/24/2024 17:30:00,32,NAS100,buy,in,13.6,17606.2,32,0.00,0.00,0.00,105745.33,
01/24/2024 21:23:39,33,NAS100,sell,out,13.6,17528.2,33,0.00,0.00,-1060.80,104684.53,sl 17528.25
01/25/2024 17:00:00,34,NAS100,sell,in,19.9,17562.15,34,0.00,0.00,0.00,104684.53,
01/25/2024 17:21:28,35,NAS100,buy,out,19.9,17614.72,35,0.00,0.00,-1046.14,103638.39,sl 17614.65
01/26/2024 17:30:00,36,NAS100,buy,in,20.5,17477.6,36,0.00,0.00,0.00,103638.39,
01/26/2024 19:49:28,37,NAS100,sell,out,20.5,17425.91,37,0.00,0.00,-1059.65,102578.74,sl 17426.40
01/29/2024 19:15:00,38,NAS100,buy,in,18.4,17490.35,38,0.00,0.00,0.00,102578.74,
01/29/2024 22:19:37,39,NAS100,sell,out,18.4,17600.96,39,0.00,0.00,2035.22,104613.96,tp 17600.95
01/30/2024 17:15:00,40,NAS100,sell,in,31.8,17556.9,40,0.00,0.00,0.00,104613.96,
01/30/2024 19:27:39,41,NAS100,buy,out,31.8,17491.04,41,0.00,0.00,2094.35,106708.31,tp 17491.20
01/31/2024 17:15:00,42,NAS100,sell,in,11.9,17246,42,0.00,0.00,0.00,106708.31,
01/31/2024 21:39:38,43,NAS100,buy,out,11.9,17335.08,43,0.00,0.00,-1060.05,105648.26,sl 17335.00
02/01/2024 17:15:00,44,NAS100,buy,in,21.2,17255.25,44,0.00,0.00,0.00,105648.26,
02/01/2024 17:54:27,45,NAS100,sell,out,21.2,17204.64,45,0.00,0.00,-1072.93,104575.33,sl 17204.80
02/02/2024 17:00:00,46,NAS100,buy,in,8.4,17504.35,46,0.00,0.00,0.00,104575.33,
02/05/2024 17:15:00,47,NAS100,sell,in,13.5,17581.55,47,0.00,0.00,0.00,104575.33,
02/05/2024 21:37:04,48,NAS100,buy,out,13.5,17658.59,48,0.00,0.00,-1040.04,103535.29,sl 17658.55
02/06/2024 17:00:00,49,NAS100,sell,in,9.1,17577.65,49,0.00,0.00,0.00,103535.29,
02/07/2024 16:21:33,50,NAS100,buy,out,9.1,17690.7,50,0.00,7.93,-1028.76,102514.46,sl 17690.65
02/07/2024 17:15:00,51,NAS100,buy,in,12.2,17730.9,51,0.00,0.00,0.00,102514.46,
02/07/2024 17:24:02,52,NAS100,sell,out,8.4,17750.92,52,0.00,-195.34,2071.19,104390.31,tp 17750.85
02/08/2024 17:45:00,53,NAS100,buy,in,21.9,17783.65,53,0.00,0.00,0.00,104390.31,
02/09/2024 15:31:38,54,NAS100,sell,out,21.9,17878.04,54,0.00,-101.85,2067.14,106355.60,tp 17877.95
02/09/2024 15:33:16,55,NAS100,sell,out,12.2,17897.94,55,0.00,-113.48,2037.89,108280.01,tp 17897.70
02/09/2024 17:00:00,56,NAS100,buy,in,16.8,17868.9,56,0.00,0.00,0.00,108280.01,
